title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Understanding the benefits and challenges of deploying conversational AI leveraging large language models for public health intervention,"E Jo, DA Epstein, H Jung, YH Kim",2023,331,"… of designing and deploying LLM-driven chatbots for public … CareCall (cf, [10]; referred to as CareCall hereinafter for brevity), a conversational AI that aims to help support socially isolated …",O3zvfVtzisUJ,"E Jo, DA Epstein, H Jung, YH Kim - … of the 2023 CHI conference on …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3544548.3581503,unknown,unknown
Understanding the impact of long-term memory on self-disclosure with large language model-driven chatbots for public health intervention,"E Jo, Y Jeong, SH Park, DA Epstein…",2024,123,"… in LLM-driven chatbots, we explore the case of CareCall, a … We sought to select cities where CareCall had been deployed … who were managing social isolation intervention programs in …",dp7PNIKAr_wJ,"E Jo, Y Jeong, SH Park, DA Epstein… - Proceedings of the 2024 …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3613904.3642420,unknown,unknown
Understanding public agencies' expectations and realities of AI-driven chatbots for public health monitoring,"E Jo, YH Kim, SH Ok, DA Epstein",2025,15,"… case of CareCall, a large language model (LLM)-driven chatbot used to monitor socially isolated … We present CareCall as an example of an AI chatbot deployed to support public health …",t5K0YJ4kACIJ,"E Jo, YH Kim, SH Ok, DA Epstein - … of the 2025 CHI Conference on …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3706598.3713593,unknown,unknown
Beneficial effect of artificial intelligence care call on memory and depression in community dwelling individuals with dementia,"S Kang, Y Lee, N Kim, SH Ok, P Kim, OH Park…",2025,9,"… that an LLM-based CLOVA CareCall intervention can … of the AI intervention even among socially isolated older adults. Fourth, … and challenges of deploying conversational AI leveraging …",zk23i3dKlgYJ,"S Kang, Y Lee, N Kim, SH Ok, P Kim, OH Park… - Scientific Reports, 2025 - nature.com",[],https://www.nature.com/articles/s41598-025-12895-7,unknown,unknown
If Eleanor Rigby had met ChatGPT: a study on loneliness in a post-LLM world,A de Wynter,2025,6,"… ; and the LLMs are deployed in controlled environments, such as … , such as severely exacerbating social isolation, causing harms up … The deployment of CareCall, and all the other …",DSZWzZ-wNccJ,"A de Wynter - Proceedings of the 63rd Annual Meeting of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.acl-long.976/,unknown,unknown
