title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Beyond simple personas: Evaluating LLMs and relevance models for character-consistent dialogue,"D Pal, D Traum",2025,6,"… persona narrative using an LLM-based summarization prompt (Appendix B). Specifically, we prompt the LLM … This section describes the prompts used to extract subject-predicate-object …",hmYGaLZB2vQJ,"D Pal, D Traum - … Interest Group on Discourse and Dialogue, 2025 - aclanthology.org",[],https://aclanthology.org/2025.sigdial-1.31/,unknown,unknown
A persona-aware LLM-enhanced framework for multi-session personalized dialogue generation,"D Liu, Z Wu, D Song, HY Huang",2025,22,"… model (LLM) as the dialogue generator. To address the aforementioned challenges, we propose a Persona-Aware LLM-… Based on triples extracted in dialogues and linked triples from …",DfJ4svpqieYJ,"D Liu, Z Wu, D Song, HY Huang - Findings of the Association for …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.findings-acl.5/,unknown,unknown
Persona-Aware Alignment of LLMs Using Synthetic Dialogue Data,A Martin,2025,0,… multi-turn dialogue. This work contributes a reproducible alignment pipeline for personasensitive LLM … User modeling and persona adaptation have become key research areas in the …,MkiP4zYNUxcJ,A Martin - 2025.sacair.org.za,[],https://2025.sacair.org.za/online-proceedings/Papers/paper_63.pdf,unknown,unknown
Large Language Model based Dialogue Embeddings for User Modeling,I Westerlund,2025,0,… effective LLM-based methods for generating user models in … -encoder models for user specific context extraction. These … pairing LLM dialogue transcripts with detailed user persona …,jpYYg1x4ZGsJ,I Westerlund - 2025 - aaltodoc.aalto.fi,[],https://aaltodoc.aalto.fi/items/558f2de8-28f8-4cd5-9abc-f5e08c3c7256,unknown,unknown
SensorPersona: An LLM-Empowered System for Continual Persona Extraction from Longitudinal Mobile Sensor Streams,"B Yang, L Xu, Y Li, K Liu, X Jiang, Z Yan",2026,3,"… cues (eg, personal information explicitly provided by the user). However… persona extraction for chatbots and LLM agents remain confined to what users explicitly express in conversation […",QhOeOWLKVnEJ,"B Yang, L Xu, Y Li, K Liu, X Jiang, Z Yan - arXiv preprint arXiv:2604.06204, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.06204,unknown,unknown
Persona-db: Efficient large language model personalization for response prediction with collaborative data refinement,"C Sun, K Yang, RG Reddy, Y Fung…",2025,55,"… aim to improve LLM personalization, the model’s capability … in personalized conversation with lengthy user contexts, … Specifically, we sampled 50 LLM extraction results from user …",3GwznGwXCuIJ,"C Sun, K Yang, RG Reddy, Y Fung… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.coling-main.20/,unknown,unknown
Persona-L has entered the chat: Leveraging LLMs and ability-based framework for personas of people with complex needs,"L Sun, T Qin, A Hu, J Zhang, S Lin, J Chen…",2025,50,"… LLMs in LLM-generated personas that represent user groups … modifications to conventional user modeling techniques, … P2 mentioned that having a conversation with the persona made …",VAp9jKZcaLoJ,"L Sun, T Qin, A Hu, J Zhang, S Lin, J Chen… - Proceedings of the …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3706598.3713445,unknown,unknown
LLM-Based Persona-Driven Text Data Augmentation,"HS Jeong, HK Ko, SY Park, TH Kim",2025,4,"… personas with linguistic behaviour rules to guide prompt engineering, enabling LLM to generate synthetic dialogues … Augmentation via word insertion/removal, synonym replacement …",qSNCBG0YZU0J,"HS Jeong, HK Ko, SY Park, TH Kim - IEEE Access, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11170443/,unknown,unknown
Doing personal laps: Llm-augmented dialogue construction for personalized multi-session conversational search,"H Joko, S Chatterjee, A Ramsay, AP De Vries…",2024,73,"… extracted preferences better match user’s actual preferences, highlighting the value of using … collecting dialogues with actual user preferences, one might wonder whether an LLM could …",NEKqyPE9myAJ,"H Joko, S Chatterjee, A Ramsay, AP De Vries… - Proceedings of the 47th …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3626772.3657815,unknown,unknown
Evaluating llm adaptation to sociodemographic factors: User profile vs. dialogue history,"Q Zhong, Z Li, S Fan, A Sun",2025,7,"… This study examines LLM behavior adaptation in multi-turn human-model interactions and … Given its intersection with persona attribute extraction and cultural value alignment in LLMs, …",64jqsL7hOHAJ,"Q Zhong, Z Li, S Fan, A Sun - arXiv preprint arXiv:2505.21362, 2025 - arxiv.org",[],https://arxiv.org/abs/2505.21362,unknown,unknown
LLM-BASED USER SIMULATION FOR EVALUATING CONVERSATION SYSTEMS: A STUDY ON CONVERSATION SAMPLING,K Shi,2024,1,"… user models to simulate user behavior, user simulation can … IR systems and efficiently extract dialogue tree. According to … search and dialogue behaviors, such as personal interests …",XFi13Rr11-sJ,K Shi - 2024 - waseda.repo.nii.ac.jp,[],https://waseda.repo.nii.ac.jp/record/2004210/files/t5122FG25.pdf,unknown,unknown
