title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Griefbots, Deadbots, Postmortem Avatars: on Responsible Applications of Generative AI in the Digital Afterlife Industry: Griefbots, Deadbots, Postmortem Avatars: on …","T Hollanek, K Nowaczyk-Basińska",2024,228,"… framework for the ethical production of deadbots that high… for the ethical development of deadbots, we modify them and … the user is interacting with an AI chatbot, but also, and more …",ZR000dScVPwJ,"T Hollanek, K Nowaczyk-Basińska - Philosophy & Technology, 2024 - Springer",[],https://link.springer.com/article/10.1007/s13347-024-00744-w,unknown,unknown
Digital resurrection: Challenging the boundary between life and death with artificial intelligence,"H Rodríguez Reséndiz, J Rodríguez Reséndiz",2024,54,… more manageable through “griefbots” that enable communication … chatbot of a specific person”) allows for the Digital … ethical framework and normative process should we digitally …,H9CseRmttDMJ,"H Rodríguez Reséndiz, J Rodríguez Reséndiz - Philosophies, 2024 - mdpi.com",[],https://www.mdpi.com/2409-9287/9/3/71,unknown,unknown
When AI becomes afterlife: psychological factors driving acceptance of thanabots services,"TMF De Sousa, FS Bizarrias, LL Raposo…",2026,3,"… depth and inform the ethical design of thanabot services. … , using terms such as thanabot, griefbot, deadbot, talk with the dead … It was also identified a set of codes related to the chatbot’s …",-iGZ1ol4__AJ,"TMF De Sousa, FS Bizarrias, LL Raposo… - Journal of Services …, 2026 - emerald.com",[],https://www.emerald.com/jsm/article-abstract/doi/10.1108/JSM-01-2025-0052/1300381,unknown,unknown
"The role of death technologies in grief: An interdisciplinary examination of AI, cognition, and human expression","K Sri Takshara, G Bhuvaneswari",2025,11,"… examine how cultural and ethical dimensions shape our collective … Tools such as digital avatars and AI-driven chatbots offer … As society confronts the growing integration of griefbots, the …",R0uhL3krsG8J,"K Sri Takshara, G Bhuvaneswari - Frontiers in Human Dynamics, 2025 - frontiersin.org",[],https://www.frontiersin.org/journals/human-dynamics/articles/10.3389/fhumd.2025.1582914/full,unknown,unknown
The making of digital ghosts: designing ethical AI afterlives,"G Spitale, F Germani",2026,5,"… digital afterlife technologies, from chatbots trained on personal data to voice clones and posthumous … of AImediated digital afterlife systems (legacy avatars, private griefbots, celebrity …",wbRIJqMb6qcJ,"G Spitale, F Germani - Ethics and Information Technology, 2026 - Springer",[],https://link.springer.com/article/10.1007/s10676-026-09910-4,unknown,unknown
No Peace After Death? The Impact of AI-Driven Memorial Chatbots on Privacy and Data Protection,"J Ciani Sciolla, U Pagallo",2025,8,"… This paper examines the profitable digital afterlife industry (… and soft ethics [16], we have to determine whether the focus of moral … a right to privacy also for post-mortem personae [35], or …",qSoufb7-fIEJ,"J Ciani Sciolla, U Pagallo - Information, 2025 - mdpi.com",[],https://www.mdpi.com/2078-2489/16/6/426,unknown,unknown
Deadbot Ethics: A Review and Analysis of Current Research,"K Helkala, C Leichter",2026,1,"… Chatbots called deadbots or griefbots are part of an emerging Digital Afterlife Industry. … person, or for their post-mortem privacy rights. The main take from this article, in the case of …",M_IOU47cVQYJ,"K Helkala, C Leichter - Journal of Responsible Technology, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S266665962600017X,unknown,unknown
Grief in the age of AI: Griefbots and online death spaces,M Riggs,2025,11,"… Griefbots can be described as “chatbots based on the digital … Thus, we cannot deny that ethics around death and the digital … Griefbots, deadbots, postmortem avatars: On responsible …",NDStfbluhQEJ,"M Riggs - Dalhousie Journal of Interdisciplinary Management, 2025 - ojs.library.dal.ca",[],https://ojs.library.dal.ca/djim/article/view/12430,unknown,unknown
