title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Dual-path and threshold mechanisms of AI agents in elderly emotional support: linking social engagement and cognitive load to loneliness reduction,"H Li, W Pan",2026,0,"… , a longitudinal study on the proactive social robot ElliQ found that after eight weeks of continuous use, older adults … that AI agents can alleviate Social Loneliness in older adults through …",04bR1ssy7BUJ,"H Li, W Pan - Interactive Learning Environments, 2026 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/10494820.2026.2627360,unknown,unknown
"ElliQ, an AI-driven social robot to alleviate loneliness: progress and lessons learned","E Broadbent, K Loveys, G Ilan, G Chen…",2024,93,"… In addition, some were surprised or annoyed by ElliQ's proactive character, which … in a conversation or activity several times a day. It was found that ElliQ is most suitable for older adults …",0mzK3csL42MJ,"E Broadbent, K Loveys, G Ilan, G Chen… - The Journal of Aging …, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2534773X24000466,unknown,unknown
Human-computer interaction and artificial intelligence for ageing population,"KL Siau, H Wang, FFH Nah, R Wang, J Li…",2025,4,"… Longitudinal data analysis indicates that successful initial … Designed for older adults living independently, ElliQ can … The robot’s proactive engagement model encourages users to stay …",NsX9GBgwLiMJ,"KL Siau, H Wang, FFH Nah, R Wang, J Li… - … Conference on Human …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-13167-6_11,unknown,unknown
Recommendations for designing conversational companion robots with older adults through foundation models,"B Irfan, S Kuoppamäki, G Skantze",2024,90,"… toys 3 ) and ElliQ conversational desktop robot with a screen (Intuition Robotics 4 , only available for US customers). To alleviate loneliness, ElliQ proactively provides daily reminders …",q-hmWTvTexsJ,"B Irfan, S Kuoppamäki, G Skantze - Frontiers in Robotics and AI, 2024 - frontiersin.org",[],https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2024.1363713/full,unknown,unknown
"NAH, Fiona Fui-hoon; WANG, Runyu; CHE, Ruitong; and LIU, Can",K SIAU,2025,0,"… Longitudinal data analysis indicates that successful initial … Designed for older adults living independently, ElliQ can … The robot’s proactive engagement model encourages users to stay …",bf8i9r4dNGEJ,"K SIAU - … -computer interaction and artificial intelligence for …, 2025 - ink.library.smu.edu.sg",[],https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=11905&context=sis_research,unknown,unknown
