title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Heideltime: High quality rule-based extraction and normalization of temporal expressions,"J Strötgen, M Gertz",2010,539,… our system HeidelTime for the extraction and normalization of temporal expressions in English … to evaluate different systems for temporal tagging as well as event and temporal relation …,a00m7g1cPQsJ,"J Strötgen, M Gertz - … of the 5th international workshop on …, 2010 - aclanthology.org",[],https://aclanthology.org/S10-1071.pdf,unknown,unknown
"Time expression recognition and normalization: a survey: X. Zhong, E. Cambria","X Zhong, E Cambria",2023,19,"… of recognizing and normalizing time expressions from free … for TERN, namely rulebased methods, traditional machine-… Rule-based time taggers like TempEx, GUTime, HeidelTime, …",u9tCv2JGxQ8J,"X Zhong, E Cambria - Artificial Intelligence Review, 2023 - Springer",[],https://link.springer.com/article/10.1007/s10462-023-10400-y,unknown,unknown
HEIDELTIME. HR: extracting and normalizing temporal expressions in Croatian,"L Skukan, G Glavaš, J Šnajder",2014,20,"… describe HEIDELTIME.HR, the Croatian resources for the rule-based temporal expression tagger HeidelTime (… As CroNER cannot normalize temporal expressions, we only evaluated …",ofxxgbefsgoJ,"L Skukan, G Glavaš, J Šnajder - Proceedings of the 9th Slovenian Language …, 2014 - nl.ijs.si",[],https://nl.ijs.si/isjt14/proceedings/isjt2014_17.pdf,unknown,unknown
French resources for extraction and normalization of temporal expressions with HeidelTime,"V Moriceau, X Tannier",2013,37,"… HeidelTime is a multilingual, cross-domain temporal tagger. It is a rule-based system with a separation between language-dependent resources and generic Java code. Resources …",vnKFMtZtgVsJ,"V Moriceau, X Tannier - extraction, 2013 - researchgate.net",[],https://www.researchgate.net/profile/Xavier-Tannier/publication/263238122_French_Resources_for_Extraction_and_Normalization_of_Temporal_Expressions_with_HeidelTime/links/53d7f12b0cf2a19eee7fe557/French-Resources-for-Extraction-and-Normalization-of-Temporal-Expressions-with-HeidelTime.pdf,unknown,unknown
Extraction of events and temporal expressions from clinical narratives,"P Jindal, D Roth",2013,61,"… extraction, we adapt a state-of-the-art system, HeidelTime, for … system for extraction and normalization of English temporal … for timex extraction is rule-based as rule-based methods have …",4QgSmHMckU4J,"P Jindal, D Roth - Journal of biomedical informatics, 2013 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1532046413001299,unknown,unknown
