title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
GATE-time: Extraction of temporal expressions and events,"L Derczynski, J Strötgen, D Maynard…",2016,23,"… high-quality normalization results on both corpora, while SUTime applies the same … for SUTime’s and HeidelTime’s output, and (iii) the other differences affect HeidelTime’s and SUTime’…",1MeA0QcxerIJ,"L Derczynski, J Strötgen, D Maynard… - Proceedings of the …, 2016 - aclanthology.org",[],https://aclanthology.org/L16-1587/,unknown,unknown
Multilingual normalization of temporal expressions with masked language models,"L Lange, J Strötgen, H Adel…",2023,16,"… temporal tagging as a whole is usually solved with highly specific rulebased systems, such as SUTime … 3The set of 87 languages is the intersection of languages covered by HeidelTime, …",jUluXtfu7WgJ,"L Lange, J Strötgen, H Adel… - Proceedings of the 17th …, 2023 - aclanthology.org",[],https://aclanthology.org/2023.eacl-main.84/,unknown,unknown
Tools and techniques for recognizing temporal expressions from text: A survey,"H Kapur, A Girdhar",2018,1,… The goal of HeidelTime is to extract for every temporal expression the expression ei and to … SUTIME is a temporal tagger for recognizing and normalizing temporal expressions in …,tUgx2cuFjNwJ,"H Kapur, A Girdhar - Asian Journal of Multidimensional …, 2018 - indianjournals.com",[],https://indianjournals.com/article/ajmr-7-12-29,unknown,unknown
Recognition of time expressions in Spanish electronic health records,"M Najafabadipour, M Zanin…",2019,14,"… a Temporal Tagger for identifying and normalizing time … our Temporal Tagger with the Spanish version of SUTime. By using … -3, HeidelTime [18] was presented as a multilingual temporal …",2kVPcJ-4oLkJ,"M Najafabadipour, M Zanin… - 2019 IEEE 32nd …, 2019 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8787407/,unknown,unknown
Extending HeidelTime for temporal expressions referring to historic dates,"J Strötgen, T Bögel, J Zell, A Armiti…",2014,37,"… Based on this corpus, we explain the challenges of temporal tagging documents about … -domain temporal tagger HeidelTime to extract and normalize temporal expressions referring to …",Ki-H3Jtpe9wJ,"J Strötgen, T Bögel, J Zell, A Armiti… - Proceedings of the …, 2014 - aclanthology.org",[],https://aclanthology.org/L14-1655/,unknown,unknown
Temporal tagging of noisy clinical texts in brazilian portuguese,"RF de Azevedo, JPS Rodrigues…",2018,3,"… normalize TEs from noisy (raw) clinical texts written in Brazilian Portuguese. To accomplish this goal, the temporal tagger HeidelTime was used to make temporal … its SUTime system is …",dkEPmmUwZ18J,"RF de Azevedo, JPS Rodrigues… - … Processing of the …, 2018 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-319-99722-3_24,unknown,unknown
Automatic rule generation for time expression normalization,"W Ding, J Chen, J Li, Y Qu",2021,14,"… We directly use the output of HeidelTime, SUTime, and UWTime for end-to-end comparison because that they use the same rules (or grammar) for recognition and normalization. …",9eZKU3xZWgoJ,"W Ding, J Chen, J Li, Y Qu - Findings of the Association for …, 2021 - aclanthology.org",[],https://aclanthology.org/2021.findings-emnlp.269/,unknown,unknown
Temporal Expression Tagging for Croatian Texts,L Skukan,2014,0,"… normalisation is significantly worse. However, if strict evaluation is applied to value and type scoring, SUTime achieves closer results to HeidelTime – 89% type scoring, compared to …",MAJi0AuxTtsJ,L Skukan - 2014 - students.takelab.fer.hr,[],https://students.takelab.fer.hr/theses/TakeLab-ZR-2014-LukaSkukan.pdf,unknown,unknown
