title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Sutime: A library for recognizing and normalizing time expressions.,"AX Chang, CD Manning",2012,605,"… describe SUTIME, a temporal tagger for recognizing and normalizing temporal expressions … We provide SUTIME as a Java library, implemented as an annotator in the Stanford …",R0-4RIv_5scJ,"AX Chang, CD Manning - Lrec, 2012 - academia.edu",[],https://www.academia.edu/download/110160208/lrec2012-sutime.pdf,unknown,unknown
Time expressions in mental health records for symptom onset extraction,"N Viani, L Yin, J Kam, A Alawi, A Bittar…",2018,14,"… In this work, we used SUTime and HeidelTime to identify TIMEX spans in the developed corpus8. The results of this domain … Sutime: A library for recognizing and normalizing time …",EBDg8DW5LSUJ,"N Viani, L Yin, J Kam, A Alawi, A Bittar… - Proceedings of the …, 2018 - aclanthology.org",[],https://aclanthology.org/W18-5621/,unknown,unknown
Time expression and named entity recognition,"X Zhong, E Cambria",2021,11,"… Specifically, HeidelTime achieves the highest F1 of 86% in TempEval-2 [163] and SUTime … based on either HeidelTime or SUTime to recognize the time expressions from clinical text. …",Ydrh6k6neaQJ,"X Zhong, E Cambria - 2021 - Springer",[],https://link.springer.com/content/pdf/10.1007/978-3-030-78961-9.pdf,unknown,unknown
Tools and techniques for recognizing temporal expressions from text: A survey,"H Kapur, A Girdhar",2018,1,"… SUTIME is a temporal tagger for recognizing and … SUTIME is available as a Java Library and is a part of the Stanford … in recognizing time expressions such as Monday, January 15 …",tUgx2cuFjNwJ,"H Kapur, A Girdhar - Asian Journal of Multidimensional …, 2018 - indianjournals.com",[],https://indianjournals.com/article/ajmr-7-12-29,unknown,unknown
Recognition of time expressions in Spanish electronic health records,"M Najafabadipour, M Zanin…",2019,14,"… its expressions and convert them from text to a normalized … of extracting and normalizing time expressions written in … tool, ie the Spanish version of SUTime, our solution presents a …",2kVPcJ-4oLkJ,"M Najafabadipour, M Zanin… - 2019 IEEE 32nd …, 2019 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8787407/,unknown,unknown
