title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Beyond single-turn: A survey on multi-turn interactions with large language models,"Y Li, X Shen, Y Miao, X Yao, X Ding, R Krishnan…",2025,114,"… one-shot math questions, performance drops sharply on these multi-turn interactions requiring sustained reasoning and dialogue … Instead of a traditional retrieval pipeline, COMEDY has …",pa9eiL4MBugJ,"Y Li, X Shen, Y Miao, X Yao, X Ding, R Krishnan… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.04717,unknown,unknown
"Beyond Individual Intelligence: Surveying Collaboration, Failure Attribution, and Self-Evolution in LLM-based Multi-Agent Systems","S Qi, J Ma, R Xing, W Guo, X Huang, Z Gao…",2026,4,"… Timeline-based memory management [95] organizes dialogue … COMEDY [124] progressively compresses older interaction … patterns of increasing complexity: one-shot calling, closed-…",_8PCSvJIKUUJ,"S Qi, J Ma, R Xing, W Guo, X Huang, Z Gao… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.14892,unknown,unknown
User behavior simulation with large language model-based agents,"L Wang, J Zhang, H Yang, ZY Chen, J Tang…",2025,306,"… Since ordinary LLMs excel at one-shot static tasks, we need to … as “sci-fi movies” or “comedy videos.” These attributes serve as … In conversational systems, it can replicate dialogue flows …",io0yDYy-p2oJ,"L Wang, J Zhang, H Yang, ZY Chen, J Tang… - ACM Transactions on …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3708985,unknown,unknown
Conversational recommender systems using generative models (Gen-CRS): A literature review,"A Wagne, T Kolb, A Banerjee, F Nazary…",2025,3,"… a major transition from one-shot prediction to dialogue-driven, … of this dialogue context, returns the top-3 comedy ilms … eg, pure chit-chat dialogue agents with no personalized item …",iJTlCCyS8qkJ,"A Wagne, T Kolb, A Banerjee, F Nazary… - ACM Transactions on …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3828551,unknown,unknown
Recipes for building an open-domain chatbot,"S Roller, E Dinan, N Goyal, D Ju…",2021,1460,… in the same way as for dialogue retrieval above. We additionally trained a … Conversation Length and Memory Our current evaluation involves very short (14-turn) oneshot conversations …,OxqmeWj8xIYJ,"S Roller, E Dinan, N Goyal, D Ju… - Proceedings of the …, 2021 - aclanthology.org",[],https://aclanthology.org/2021.eacl-main.24/,unknown,unknown
