title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
TimeML: Robust specification of event and temporal expressions in text.,"J Pustejovsky, JM Castano, R Ingria, R Sauri…",2003,1173,"… a description of TimeML, a rich specification language for event and temporal expressions in natural language … Unlike most previous work on event annotation, TimeML captures three …",Me68pnoZZpIJ,"J Pustejovsky, JM Castano, R Ingria, R Sauri… - New directions in …, 2003 - cdn.aaai.org",[],https://cdn.aaai.org/Symposia/Spring/2003/SS-03-07/SS03-07-005.pdf,unknown,unknown
The Specification Language TimeML.,"J Pustejovsky, R Ingria, R Sauri, JM Castaño, J Littman…",2005,279,"… The automatic recognition of temporal and event expressions in natural language text has … , we report on TimeML, a specification language for events and temporal expressions, which …",tTvEADGhFtYJ,"J Pustejovsky, R Ingria, R Sauri, JM Castaño, J Littman… - 2005 - pages.cs.brandeis.edu",[],http://pages.cs.brandeis.edu/~im5/papers/TimeML.pdf,unknown,unknown
Temporal and event information in natural language text,"J Pustejovsky, R Knippen, J Littman, R Saurí",2005,204,"… specification language would need, in order to mark up … We present a language, TimeML, which attempts to capture the … identifying events and temporal expressions in a text and …",_O3EfSFHpO0J,"J Pustejovsky, R Knippen, J Littman, R Saurí - Language resources and …, 2005 - Springer",[],https://link.springer.com/article/10.1007/s10579-005-7882-7,unknown,unknown
Designing annotation schemes: From theory to model,"J Pustejovsky, H Bunt, A Zaenen",2017,74,"… annotation model and specification language, ISO-TimeML, we … for annotating time and events according to ISO-TimeML. The … the nature of events, tense, and temporal expressions, we …",RAwl4X6rjzAJ,"J Pustejovsky, H Bunt, A Zaenen - Handbook of linguistic annotation, 2017 - Springer",[],https://link.springer.com/chapter/10.1007/978-94-024-0881-2_2,unknown,unknown
TimeBank evolution as a community resource for TimeML parsing,"B Boguraev, J Pustejovsky, R Ando…",2007,57,… TimeML derives higher expressiveness from explicitly separating representation of temporal expressions from that of events (… an ever-changing specification language are particularly …,6I5VJsIm_aIJ,"B Boguraev, J Pustejovsky, R Ando… - Language Resources and …, 2007 - Springer",[],https://link.springer.com/article/10.1007/s10579-007-9018-8,unknown,unknown
