title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
ISO-TimeML: An international standard for semantic annotation,L Romary,2010,299,"… ISO-TimeML, a revised and interoperable version of the temporal markup language, TimeML. We … for somewhat unique definition of an event does not limit the representing ISO-TimeML …",ERlNkl0ibg0J,"L Romary - LREC 2010, 2010 - academia.edu",[],https://www.academia.edu/download/51090716/LREC-Final.pdf,unknown,unknown
Designing annotation schemes: From theory to model,"J Pustejovsky, H Bunt, A Zaenen",2017,74,"… general temporal awareness as expressed in language, including temporal and event expressions, … of a specific annotation model and specification language, ISO-TimeML, we hope to …",RAwl4X6rjzAJ,"J Pustejovsky, H Bunt, A Zaenen - Handbook of linguistic annotation, 2017 - Springer",[],https://link.springer.com/chapter/10.1007/978-94-024-0881-2_2,unknown,unknown
Temporal annotation in the clinical domain,"WF Styler IV, S Bethard, S Finan…",2014,260,"… the ISO-TimeML standard for expediency and ease of annotation… While accepting ISO-TimeML’s definition of event modality, … annotation task within the current guideline, so that EVENTs …",CByT6NpkVvAJ,"WF Styler IV, S Bethard, S Finan… - Transactions of the …, 2014 - aclanthology.org",[],https://aclanthology.org/Q14-1012/,unknown,unknown
French TimeBank: an ISO-TimeML annotated reference corpus,"A Bittar, P Amsili, P Denis, L Danlos",2011,97,"… Cross-language Improvements … ISO-TimeML currently provides for the annotation of event modality by … out an automatic preannotation of markables (events, temporal expressions and …",sodPw6nWaQIJ,"A Bittar, P Amsili, P Denis, L Danlos - … : Human Language …, 2011 - aclanthology.org",[],https://aclanthology.org/P11-2023.pdf,unknown,unknown
ISO-TimeML and the annotation of temporal information,J Pustejovsky,2017,18,"… ISO-TimeML, a specification language for events and temporal expressions, an ISO standard based on TimeML, … Events in articles are naturally anchored in time within the narrative of a …",7j8_A0wyMcQJ,"J Pustejovsky - Handbook of linguistic annotation, 2017 - Springer",[],https://link.springer.com/chapter/10.1007/978-94-024-0881-2_35,unknown,unknown
