title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Memorybank: Enhancing large language models with long-term memory,"W Zhong, L Guo, Q Gao, H Ye, Y Wang",2024,1256,"… the necessity for long-term memory, we propose MemoryBank, a novel memory mechanism … updating mechanism, inspired by the Ebbinghaus Forgetting Curve theory. This mechanism …",c7SQGxOCPAAJ,"W Zhong, L Guo, Q Gao, H Ye, Y Wang - Proceedings of the AAAI …, 2024 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI/article/view/29946,unknown,unknown
Cognitive memory in large language models,"L Shan, S Luo, Z Zhu, Y Yuan, Y Wu",2025,47,"… mechanisms of the memories stored in the memory bank, as … Memory forgetting mechanism is inspired by Ebbinghaus’s … This chapter introduces long-term memory based on the KV …",xw9l9c-lYc8J,"L Shan, S Luo, Z Zhu, Y Yuan, Y Wu - arXiv preprint arXiv:2504.02441, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.02441,unknown,unknown
Recursively summarizing enables long-term dialogue memory in large language models,"Q Wang, Y Fu, Y Cao, S Wang, Z Tian, L Ding",2025,224,"… MemoryBank proposes a human-like long-term memory mechanism, which creates … memory will be forgotten and updated by Ebbinghaus’s forgetting curve. Here, we plug MemoryBank …",DLNpPVS9J1AJ,"Q Wang, Y Fu, Y Cao, S Wang, Z Tian, L Ding - Neurocomputing, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0925231225008653,unknown,unknown
Augmenting language models with long-term memory,"W Wang, L Dong, H Cheng, X Liu…",2023,460,"… LONGMEM is capable of taking various types of long-form text and knowledge into the memory bank based on downstream tasks. Here, we consider two representative cases, …",KbtJewjFOYsJ,"W Wang, L Dong, H Cheng, X Liu… - Advances in neural …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/ebd82705f44793b6f9ade5a669d0f0bf-Abstract-Conference.html,unknown,unknown
Vector storage based long-term memory research on LLM,"K Li, X Jing, C Jing",2024,8,"… of long-term memory for large language models is verified. … retrieved from the memory bank with different memory types is … curve theory proposed by Ebbinghaus, and designed the …",FzyWUMx2Wd8J,"K Li, X Jing, C Jing - International Journal of Advanced …, 2024 - reference-global.com",[],https://reference-global.com/article/10.2478/ijanmc-2024-0029,unknown,unknown
