title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Zep: a temporal knowledge graph architecture for agent memory,"P Rasmussen, P Paliychuk, T Beauvais, J Ryan…",2025,358,"… Zep, a novel memory layer service for AI agents that outperforms the current stateof-the-art system, MemGPT, in the Deep Memory Retrieval (DMR) benchmark. Additionally, Zep excels …",Og137-KcEzQJ,"P Rasmussen, P Paliychuk, T Beauvais, J Ryan… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2501.13956,unknown,unknown
Mem0: Building production-ready ai agents with scalable long-term memory,"P Chhikara, D Khant, S Aryan, T Singh…",2025,830,"… To maintain a consistent knowledge graph, we implement a … ’s temporal coherence, outperforming Mem0’s dense memory … After adding memories to Zep’s system, we observed that …",KxQ82UFfF8AJ,"P Chhikara, D Khant, S Aryan, T Singh… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.19413,unknown,unknown
"Graph-based agent memory: Taxonomy, techniques, and applications","C Yang, C Zhou, Y Xiao, S Dong, L Zhuang…",2026,32,"… formalize the temporal dynamics of memory through the … section focuses first on Knowledge Graphs as a canonical … In practice, Zep [18] maintains explicit time windows for each fact, …",Ecz2bBetxUoJ,"C Yang, C Zhou, Y Xiao, S Dong, L Zhuang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.05665,unknown,unknown
Memtrack: Evaluating long-term memory and state tracking in multi-platform dynamic agent environments,"D Deshpande, V Gangal, H Mehta…",2025,17,"… except that the memory component used is ZEP [18]. We choose ZEP as the second memory component since, having additional knowledge-graph based aspects to its internal memory …",0o8HUrPj7skJ,"D Deshpande, V Gangal, H Mehta… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2510.01353,unknown,unknown
Memotime: Memory-augmented temporal knowledge graph enhanced large language model reasoning,"X Tan, X Wang, Q Liu, X Xu, X Yuan, L Zhu…",2026,22,… a memory-augmented temporal knowledge graph framework … MemoTime decomposes complex temporal questions into a … multiple entities under unified temporal bounds. A dynamic …,eNCjjIzHIBcJ,"X Tan, X Wang, Q Liu, X Xu, X Yuan, L Zhu… - Proceedings of the ACM …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3774904.3792581,unknown,unknown
