title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Towards the therapeutic use of information and communication technology in reminiscence work for people with dementia: a systematic review,"P Subramaniam, B Woods",2010,56,… has been ‘reminiscence therapy’ or ‘reminiscence work’. … Life reviews are seen as a mechanism for older adults to … photo album; digital life histories; and interactive life story multimedia. …,JG1lUfoI83sJ,"P Subramaniam, B Woods - International Journal of …, 2010 - inderscienceonline.com",[],https://www.inderscienceonline.com/doi/abs/10.1504/IJCIH.2010.037457,unknown,unknown
Perspectives of older adults and healthcare providers on digital technologies in reminiscence therapy: A qualitative study,"H Yang, Y Jiao, Q Zhong, K Huang, R He…",2026,0,"… attitudes of older adults and healthcare providers toward digital reminiscence technology, participants may exhibit immediate reactions when presented with new digital technologies, …",6Elh87luq-cJ,"H Yang, Y Jiao, Q Zhong, K Huang, R He… - Digital …, 2026 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/20552076261426310,unknown,unknown
The application of fully immersive virtual reality on reminiscence interventions for older adults: scoping review,"Z Lu, W Wang, W Yan, CL Kew, JH Seo…",2023,41,"… WY and JHS edited the technology-related content. CLK and MO edited the sections related to public health issues, the practice of reminiscence therapies or interventions, and the …",_3sjKqjQOTEJ,"Z Lu, W Wang, W Yan, CL Kew, JH Seo… - JMIR Serious Games, 2023 - games.jmir.org",[],https://games.jmir.org/2023/1/e45539/,unknown,unknown
Virtual reality‐based reminiscence therapy for older adults to improve psychological well‐being and cognition: A systematic review,"WHD Ng, WHD Ang, H Fukahori, YS Goh…",2026,41,… Background: Virtual reality- reminiscence therapy (VR- RT) has increasingly been applied to older adults to improve psychological well- being and cognition. Objective: This review aims …,uJLt1m--znUJ,"WHD Ng, WHD Ang, H Fukahori, YS Goh… - Journal of Clinical …, 2026 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/jocn.17375,unknown,unknown
The effect of technology-based reminiscence therapy on older adults: A systematic review,"S Esmaeilzadeh, M Aygün…",2026,0,"… review aimed to evaluate the effectiveness of technological applications used in reminiscence therapy among older adults… cognitive functions, quality of life, and mental health outcomes …",OZuEKF6jufgJ,"S Esmaeilzadeh, M Aygün… - Aging Medicine and …, 2026 - journals.lww.com",[],https://journals.lww.com/amah/fulltext/2026/04000/the_effect_of_technology_based_reminiscence.9.aspx?context=latestarticles,unknown,unknown
Artificial Intelligence in Reminiscence Therapy for Older Adults: A Systematic Review Protocol,"R Shankar, J Ali, X Qian",2025,1,"… Several challenges are anticipated in conducting this review. The heterogeneity expected across studies in terms of AI technologies employed, reminiscence therapy protocols, outcome …",0_cqcaAfjt4J,"R Shankar, J Ali, X Qian - medRxiv, 2025 - medrxiv.org",[],https://www.medrxiv.org/content/10.1101/2025.09.21.25336299.abstract,unknown,unknown
Developing assistive technology to support reminiscence therapy: a user-centered study,"SM Alarcão, A Santana, B Vieites, P Neves…",2025,4,… Reminiscence therapy is widely used in the treatment of dementia due to its therapeutic value for older adults… interest in technological functionalities to support reminiscence therapy We …,bxhnsT_OR7EJ,"SM Alarcão, A Santana, B Vieites, P Neves… - Frontiers in …, 2025 - frontiersin.org",[],https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1625897/full,unknown,unknown
Reminiscence and digital life story work for dementia care,LO Philbin,2019,4,"… review and meta-analysis of reminiscence therapy for dementia, in which some positive but inconsistent effects of reminiscence on quality of life… for older adults, and that life stories are a …",ca2Hrbs3NX8J,LO Philbin - 2019 - search.proquest.com,[],https://search.proquest.com/openview/4b35a4e5e4abc027bdb21c913c3a3241/1?pq-origsite=gscholar&cbl=51922&diss=y,unknown,unknown
"AN OVERVIEW OF THE DYADIC, INTERGENERATIONAL AND DIGITAL-BASED REMINISCENCE THERAPY: A SCOPING REVIEW","NFM Nasir, P Subramaniam, SE Ghazali…",2023,0,"… conducted RT on the effects of spiritual reminiscence therapy on Malaysian older adults … in using the digital life storybooks. In the current era, technology-based reminiscence may be …",PuugBrw9-MwJ,"NFM Nasir, P Subramaniam, SE Ghazali… - Malaysian Journal of …, 2023 - mjphm.org",[],http://mjphm.org/index.php/mjphm/article/view/2099,unknown,unknown
"Digital storytelling in older adults with typical aging, and with mild cognitive impairment or dementia: a systematic literature review","AM Rios Rincon, A Miguel Cruz…",2022,89,"… form of life review, and reminiscence therapy. A systematic literature review was conducted … of the use of digital technologies for facilitating storytelling in older adults and their care …",Rqi0_YhVc4wJ,"AM Rios Rincon, A Miguel Cruz… - Journal of Applied …, 2022 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/07334648211015456,unknown,unknown
A systematic review of dyadic approaches to reminiscence and life review among older adults,"B Ingersoll-Dayton, N Kropf, R Campbell…",2019,35,… ” and “reminiscence therapy” (CINAHL). We examined the title and abstract for each article … group to examine a Technology-Based Reminiscence Approach. The investigators (Hamel et …,9vksF9CZKyEJ,"B Ingersoll-Dayton, N Kropf, R Campbell… - Aging & mental …, 2019 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/13607863.2018.1555696,unknown,unknown
